A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
1.0,20.75,10.335000038146973,0.0,0.0,2.0,1.0,0.3350000083446502,0.0,0.0,1.0,0.0,0.0,80.0,50.0,0.0
1.0,60.58000183105469,16.5,0.0,0.0,8.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,21.0,10561.0,0.0
0.0,0.0,4.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,290.0,2279.0,0.0
0.0,0.0,10.5,0.0,0.0,10.0,0.0,6.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,39.08000183105469,6.0,0.0,0.0,6.0,0.0,1.2899999618530271,0.0,0.0,5.0,0.0,0.0,108.0,1097.0,0.0
1.0,18.82999992370605,4.414999961853027,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,0.0
0.0,32.08000183105469,4.0,0.0,0.0,6.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,360.0,0.0,0.0
0.0,18.0,0.1650000065565109,0.0,0.0,8.0,4.0,0.209999993443489,1.0,1.0,0.0,1.0,0.0,200.0,40.0,0.0
0.0,29.670000076293945,1.4149999618530271,0.0,0.0,9.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,240.0,100.0,0.0
0.0,32.25,0.1650000065565109,1.0,1.0,0.0,1.0,3.25,0.0,0.0,1.0,0.0,0.0,432.0,8000.0,0.0
0.0,31.670000076293945,16.165000915527344,0.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,1.0,0.0,250.0,730.0,0.0
0.0,25.0,11.25,0.0,0.0,0.0,0.0,2.5,0.0,0.0,17.0,1.0,0.0,200.0,1208.0,0.0
0.0,22.670000076293945,2.539999961853028,1.0,1.0,0.0,1.0,2.5850000381469727,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,34.08000183105469,0.0799999982118606,1.0,1.0,6.0,2.0,0.0399999991059303,0.0,0.0,1.0,0.0,0.0,280.0,2000.0,0.0
0.0,52.5,6.5,0.0,0.0,5.0,0.0,6.289999961853027,0.0,0.0,15.0,1.0,0.0,0.0,11202.0,0.0
1.0,65.16999816894531,14.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1400.0,0.0
0.0,56.58000183105469,18.5,0.0,0.0,1.0,2.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
0.0,42.0,9.789999961853027,0.0,0.0,10.0,1.0,7.960000038146973,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
0.0,60.08000183105469,14.5,0.0,0.0,13.0,7.0,18.0,0.0,0.0,15.0,0.0,0.0,0.0,1000.0,0.0
0.0,28.920000076293945,15.0,0.0,0.0,0.0,1.0,5.335000038146973,0.0,0.0,11.0,1.0,0.0,0.0,2283.0,0.0
1.0,19.670000076293945,0.209999993443489,0.0,0.0,8.0,1.0,0.2899999916553497,0.0,0.0,11.0,1.0,0.0,80.0,99.0,0.0
1.0,20.670000076293945,3.0,0.0,0.0,8.0,0.0,0.1650000065565109,0.0,0.0,3.0,1.0,0.0,100.0,6.0,0.0
0.0,34.16999816894531,1.5399999618530271,0.0,0.0,2.0,0.0,1.5399999618530271,0.0,0.0,1.0,0.0,0.0,520.0,50000.0,0.0
1.0,49.83000183105469,13.585000038146973,0.0,0.0,5.0,1.0,8.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.32999992370605,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,50.0,1465.0,0.0
0.0,44.33000183105469,0.5,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,0.0
1.0,25.07999992370605,2.539999961853028,1.0,1.0,12.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,370.0,0.0,0.0
0.0,33.16999816894531,3.039999961853028,1.0,1.0,0.0,1.0,2.039999961853028,0.0,0.0,1.0,0.0,0.0,180.0,18027.0,0.0
1.0,28.5,3.039999961853028,1.0,1.0,10.0,1.0,2.539999961853028,0.0,0.0,1.0,1.0,0.0,70.0,0.0,0.0
